latitude,longitude,pointValue
38.26833,-122.67,99.9
38.26833,-122.67,99.9
38.335,-122.71167,99.9
38.33667,-122.71167,99.9
38.34333,-122.71333,99.9
38.34333,-122.71333,99.9
38.34333,-122.71333,99.9
38.34,-122.71333,99.9
38.34,-122.71333,99.9
38.35,-122.71333,99.9
38.27167,-122.66833,99.9
38.27833,-122.675,99.9
38.27833,-122.675,99.9
38.30333,-122.70833,99.9
38.30333,-122.70833,99.9
38.32167,-122.71333,99.9
38.32167,-122.71333,99.9
38.33167,-122.71333,99.9
38.33167,-122.71333,99.9
38.35333,-123.06167,100.0
38.34833,-122.71167,99.9
38.34667,-122.96667,100.0
38.26333,-122.78833,99.9
38.275,-122.79833,99.9
38.30333,-122.83333,100.0
38.25833,-122.79333,99.9
38.275,-122.67667,99.9
38.34333,-122.66667,99.9
38.34833,-122.96167,99.9
38.355,-122.68333,99.9
38.34333,-122.68333,99.9
38.35,-122.70833,99.9
38.34333,-122.71167,99.9
38.32667,-122.70167,99.9
38.35,-122.81167,100.0
38.34333,-122.73333,99.9
38.35167,-122.74,99.9
38.28833,-122.745,99.9
38.275,-122.76167,99.9
38.24333,-122.77667,99.9
38.31333,-122.85,100.0
38.31,-122.85333,100.0
38.31167,-122.87167,100.0
38.25667,-122.68,99.9
38.27167,-122.67667,99.9
38.27167,-122.68333,99.9
38.27167,-122.68833,99.9
38.3,-122.67167,99.9
38.35,-122.81833,100.0
38.34667,-122.975,100.0
38.355,-122.98167,100.0
38.30667,-122.82667,100.0
38.34333,-122.69333,99.9
38.35167,-122.72167,99.9
38.35167,-122.71667,99.9
38.35167,-122.705,99.9
38.35167,-122.695,99.9
38.35167,-122.695,99.9
38.35333,-122.74,99.9
38.35,-122.73167,99.9
38.28,-122.66667,99.9
38.005,-122.70667,99.9
38.01667,-122.72333,100.0
38.00833,-122.70167,99.9
38.31167,-122.93333,100.0
38.015,-122.68833,99.9
38.01167,-122.70167,99.9
38.01333,-122.66667,99.9
38.01667,-122.675,99.9
38.01333,-122.69833,99.9
38.28,-122.66667,99.9
38.26333,-122.85667,100.0
37.99667,-122.75333,100.0
37.99833,-122.755,100.0
38.06333,-122.80333,99.9
38.065,-122.80333,99.9
38.065,-122.80333,99.9
38.23167,-122.91167,100.0
38.26833,-122.89833,100.0
38.31167,-122.895,100.0
38.08,-122.805,99.9
38.10933,-122.83717,100.0
38.07333,-122.75667,99.9
38.05,-122.76,100.0
38.27833,-122.94667,100.0
38.06667,-122.70167,100.0
38.07833,-122.70667,99.9
38.095,-122.73167,99.9
38.07,-122.76333,99.9
38.14167,-122.70333,99.9
38.02667,-122.73833,100.0
38.24333,-122.9,100.0
38.05333,-122.69167,99.9
38.065,-122.81,99.9
38.15,-122.705,99.9
38.04167,-122.78833,99.9
38.19833,-122.70333,99.9
38.165,-122.735,99.9
38.16333,-122.775,100.0
38.16833,-122.78833,100.0
38.16667,-122.80667,99.9
37.91833,-122.69167,99.9
38.20667,-122.78333,99.9
38.27667,-122.89667,100.0
38.25833,-122.83667,99.9
38.25833,-122.85833,100.0
38.31667,-122.91833,100.0
38.265,-122.92667,100.0
38.01833,-122.72833,100.0
38.02833,-122.74,100.0
37.30833,-122.04,99.4
37.32333,-121.89167,90.2
37.32667,-122.005,91.9
37.32667,-122.00667,75.0
37.32833,-121.89333,90.2
37.25,-121.835,81.9
37.25333,-121.84333,83.8
37.25333,-121.84333,83.8
37.255,-121.85667,94.3
37.25667,-121.85667,94.7
37.25667,-121.85833,94.7
37.25667,-121.85667,94.4
37.20167,-121.95833,99.9
37.11333,-122.11167,99.9
37.12833,-122.12167,99.9
37.05833,-122.09167,100.0
36.98667,-122.01333,99.9
36.97833,-122.02333,99.9
36.98,-122.01833,99.9
37.05667,-122.05833,99.9
37.08833,-122.09167,99.9
36.97667,-122.01833,99.9
36.96833,-122.01833,99.9
36.96833,-122.01333,99.9
36.97,-122.02167,99.9
36.97333,-122.02167,99.5
36.96667,-122.01167,99.9
36.99833,-122.00833,99.9
36.96833,-122.00167,99.9
36.97167,-121.95167,99.9
37.10833,-122.05,99.9
37.08833,-122.08667,99.9
37.14167,-122.08833,99.9
37.14,-122.08833,99.9
37.14167,-122.13167,99.9
37.09333,-122.05167,99.9
37.09,-122.04333,99.5
36.975,-122.02,99.9
37.11,-122.04667,99.9
37.11333,-122.04833,99.9
37.13667,-121.97833,99.9
37.09167,-122.095,99.9
37.00333,-121.90333,99.9
37.425,-122.13167,99.4
37.355,-121.84833,91.8
37.40833,-122.065,71.8
37.375,-121.93167,95.5
37.43833,-122.11167,68.4
37.38333,-121.905,68.8
37.38333,-121.905,68.8
37.25333,-122.04,99.6
37.38667,-122.05667,92.0
37.38667,-122.05667,92.0
37.42224,-121.92672,69.7
37.42333,-121.925,66.9
37.42333,-121.925,66.0
37.42224,-121.92672,69.7
37.44333,-122.165,91.9
37.36167,-121.88667,84.9
37.37333,-121.915,66.6
37.36333,-121.89667,82.6
37.365,-121.90167,92.4
37.36833,-121.90167,67.3
37.33,-121.93833,92.2
37.335,-121.935,83.3
37.34167,-121.92667,90.8
37.345,-121.92167,91.6
37.34833,-121.91667,87.6
37.32333,-121.93833,91.9
37.28667,-121.93667,94.5
37.29,-121.93667,91.4
37.29333,-121.93667,91.6
37.31833,-121.93833,92.2
37.31833,-121.93833,92.1
37.36,-121.905,72.3
37.36167,-121.90167,67.6
37.42167,-122.09167,72.5
37.27167,-121.94667,70.7
37.445,-122.11833,74.7
37.445,-122.11833,75.0
37.25,-121.95667,94.7
37.39167,-121.995,77.9
37.41167,-122.075,79.6
37.41333,-122.08,80.3
37.445,-122.11833,74.6
37.32667,-121.93833,92.2
37.43167,-122.10333,75.0
37.355,-121.91,60.6
37.4,-122.03333,58.2
37.40333,-122.025,67.7
37.355,-121.90833,60.8
37.355,-121.90833,60.8
37.35167,-122.06,91.4
37.40833,-122.06833,84.0
37.32,-121.93833,92.6
37.31833,-121.94,84.0
37.38333,-122.06833,91.2
37.38333,-122.06833,91.9
37.38333,-122.06833,91.9
37.38333,-122.06833,91.6
37.38333,-122.06833,91.4
37.38333,-122.06833,91.4
37.37833,-122.06667,91.2
37.385,-122.06333,91.4
37.33833,-122.05833,98.7
37.32333,-121.99833,66.9
37.35333,-121.94167,78.1
37.33167,-122.01167,97.1
37.34333,-122.07667,98.8
37.31833,-121.90167,78.0
37.31833,-121.90167,78.0
37.32167,-121.89667,90.0
37.32333,-121.895,93.3
37.32333,-121.89167,91.0
37.32667,-121.89333,97.0
37.32667,-121.89333,90.9
37.32667,-121.89333,91.0
37.32833,-121.89333,90.9
37.32833,-121.89333,90.9
37.33,-121.86667,61.9
37.33,-121.865,87.4
37.425,-121.87833,84.8
37.435,-121.88833,83.1
37.435,-121.88833,83.1
37.44667,-121.89,84.8
37.44667,-121.89,84.8
37.33167,-121.89667,88.9
37.33,-121.895,89.8
37.34167,-121.895,86.7
37.33667,-121.895,90.0
37.33667,-121.895,90.0
37.32333,-121.89333,90.9
37.29,-121.87,98.6
37.29,-121.87,98.6
37.415,-121.88,83.3
37.415,-121.88,83.3
37.28167,-121.865,79.7
37.28167,-121.865,79.7
37.315,-121.88667,90.2
37.315,-121.88667,90.2
37.41667,-121.91333,83.2
37.41667,-121.91333,83.2
37.32667,-121.89333,90.2
37.00167,-121.835,99.8
37.255,-121.845,84.3
37.255,-121.845,84.3
37.26667,-121.85833,94.2
37.42167,-122.09167,79.8
37.255,-121.86333,94.7
37.255,-121.86333,94.7
37.43167,-121.90333,74.1
37.43167,-121.90333,74.1
37.43167,-121.90333,74.1
37.43167,-121.90333,74.1
37.42333,-121.92333,69.6
37.255,-121.85667,94.7
37.255,-121.85667,94.7
37.255,-121.955,91.8
37.25333,-121.95333,94.2
37.25167,-121.95333,94.2
37.25,-121.95833,94.7
37.25833,-121.96333,99.4
37.49167,-121.91833,94.5
37.49167,-121.91833,92.3
37.48833,-122.21333,96.2
37.48833,-122.21333,87.0
37.46833,-122.15333,82.7
37.46167,-122.14167,82.0
37.46167,-122.14167,72.4
37.50167,-122.315,99.9
37.50167,-122.315,99.9
37.46,-122.29,99.9
37.46,-122.29,99.8
37.465,-122.29,99.9
37.465,-122.29,99.9
37.49833,-122.24,75.3
37.495,-122.24333,92.3
37.45333,-122.16167,92.5
37.14833,-122.15667,99.9
37.14333,-122.15333,99.9
37.13833,-122.14167,99.9
37.13167,-122.135,99.9
36.98833,-121.99167,99.9
36.97,-121.885,99.9
36.98333,-121.95167,99.9
36.98333,-121.93667,99.9
36.98333,-121.93667,99.9
36.98833,-122.01,99.9
37.05833,-122.07833,99.9
37.06833,-122.08167,99.9
37.07,-122.08333,99.9
37.08833,-122.08667,99.9
37.09,-122.09167,99.9
37.09167,-122.09333,99.9
37.12667,-122.12167,99.9
37.15667,-122.13333,99.9
36.98667,-122.01167,99.9
36.98833,-122.01167,99.9
36.98833,-122.01333,99.9
36.98833,-122.01333,99.9
36.98833,-122.015,99.9
36.98833,-122.015,99.9
36.98833,-122.01667,99.9
36.98833,-122.01667,99.9
36.98833,-122.00167,99.9
36.98667,-122.02333,99.9
36.98667,-122.02333,99.9
36.985,-122.02667,99.9
36.985,-122.02667,99.9
36.98667,-122.02167,99.4
37.15167,-122.135,99.9
36.99833,-122.00333,99.9
37.05667,-122.03167,99.9
36.96167,-121.98333,99.9
37.045,-121.94,99.9
37.06667,-122.06,99.9
37.08,-122.07833,99.9
37.11333,-122.02,99.9
37.06,-122.05667,99.9
37.075,-122.05333,99.9
37.08167,-122.04167,99.9
37.14833,-122.01667,99.9
37.07333,-122.08333,99.9
37.08167,-122.065,99.8
36.98833,-121.97,99.9
37.09667,-121.995,99.9
37.125,-122.11833,99.9
37.165,-122.075,99.9
37.15167,-122.12167,99.9
37.16833,-122.09833,99.9
37.16,-122.12667,99.9
37.17667,-122.11833,99.9
37.10667,-122.10333,99.9
37.15167,-122.135,99.9
37.17333,-122.14167,99.9
37.17333,-122.13833,99.9
37.17167,-122.13833,99.9
37.27,-121.97833,97.8
37.27,-121.97833,97.8
37.27,-121.99333,99.1
37.30167,-122.03833,99.4
37.255,-121.87333,94.7
37.255,-121.87333,94.7
37.25333,-121.95667,94.2
37.25333,-121.955,94.5
37.25333,-121.955,94.5
37.25333,-121.955,94.5
37.25333,-121.955,94.5
37.25333,-121.955,94.5
37.38333,-121.905,71.1
37.44333,-122.16333,92.0
37.32333,-122.06,83.6
37.355,-121.87,64.8
37.38,-121.93667,95.1
37.29667,-121.87,80.1
37.29833,-121.82167,86.9
37.27333,-121.875,91.4
37.31,-121.885,90.7
37.43167,-122.105,80.3
37.43167,-122.10333,75.0
37.38333,-121.905,70.8
37.44,-122.11167,68.4
37.44,-122.11333,68.4
37.395,-121.93833,61.6
37.39667,-121.91333,70.0
37.39667,-121.91333,70.0
37.33667,-121.9,88.4
37.325,-121.86,88.1
37.25167,-121.87,75.2
