latitude,longitude,pointValue
36.81913,-121.38788,98.6
37.29531,-120.52046,99.9
37.29531,-120.52046,99.9
37.68411,-121.76724,81.9
37.69024,-121.8005,81.9
37.69024,-121.8005,81.9
37.95866,-122.50894,95.3
38.01229,-121.793,98.6
38.24128,-122.62277,99.9
38.29983,-122.2881,99.5
38.53988,-121.75205,99.9
38.54371,-121.73856,99.9
37.79754,-122.47298,98.6
38.67866,-121.7541,99.9
38.25573,-121.29572,99.9
36.21115,-121.12688,99.9
36.66553,-121.62864,99.9
36.97041,-122.02509,99.5
37.39931,-121.93772,80.7
37.39931,-121.93772,80.7
37.64728,-121.02413,99.5
37.69233,-122.17331,58.8
37.78273,-122.41491,97.0
37.78314,-122.43401,97.0
37.797,-122.2656,85.5
37.797,-122.2656,85.5
37.79733,-122.26669,88.9
37.79733,-122.26669,88.9
37.80554,-122.26897,88.9
37.95991,-121.2722,99.5
38.00457,-122.31197,60.7
38.00457,-122.31197,60.7
38.13381,-121.27224,99.5
38.2481,-122.04364,99.5
38.39444,-122.72459,99.9
38.43815,-122.7124,99.9
38.51459,-121.38466,99.9
38.56895,-121.46988,99.9
38.67866,-121.7541,99.9
37.64144,-121.0041,99.5
37.797,-122.4717,98.6
38.68212,-121.75987,99.9
38.6761,-121.765,99.9
36.5069,-121.4431,99.9
37.7397,-121.4378,97.1
38.2322,-122.6375,99.9
37.0097,-121.5703,92.4
36.9714,-122.0236,99.5
36.58404,-121.82887,99.9
37.59862,-122.08154,61.5
37.90456,-122.06756,83.1
37.5062,-122.26169,94.9
37.5062,-122.26169,94.9
37.90896,-122.05872,86.4
38.00528,-122.11077,97.1
