latitude,longitude,pointValue
38.262662,-121.927487,99.4
38.377773,-121.96157,99.8
38.392356,-121.330737,99.8
37.828439,-121.62582,96.9
38.213189,-122.280681,99.4
38.193384,-121.703626,99.4
37.989662,-122.056876,93.9
37.625812,-120.954408,99.8
38.443245,-121.508848,99.8
38.531456,-121.786465,99.8
38.579067,-121.856619,99.9
38.673871,-121.872064,99.9
37.75634,-120.800196,99.8
37.081581,-121.596793,96.9
37.894162,-121.238293,99.4
38.202412,-121.268404,99.8
38.067352,-121.207583,99.8
37.688995,-121.441598,96.9
36.89334,-121.410258,94.8
38.512523,-121.493459,99.9
38.695412,-121.590765,99.8
38.674995,-121.445431,99.9
37.693384,-121.820348,72.2
38.508972,-122.812867,99.8
38.667634,-121.400598,99.9
38.486773,-121.102765,99.9
38.555259,-121.297237,99.9
37.721273,-122.220709,77.0
38.257827,-122.605527,99.8
38.776014,-122.992625,99.9
37.380475,-120.568176,99.9
37.284724,-120.513873,99.8
37.062901,-120.869238,99.4
36.935717,-121.789626,99.4
37.461106,-122.115042,80.1
37.51185,-122.249511,86.6
37.332856,-121.819793,88.5
37.416136,-122.049126,90.3
36.662773,-121.606348,99.8
36.586995,-121.842931,99.9
36.681873,-121.762335,99.8
37.618967,-122.374876,91.3
37.513439,-122.501154,96.9
37.362662,-121.929098,86.5
37.658912,-122.121737,69.4
38.143606,-122.556087,98.5
