latitude,longitude,pointValue
36.54371,-121.89567,99.8
36.60588,-121.82949,99.7
36.61812,-121.91603,99.9
37.06246,-122.07999,97.7
37.06246,-122.07999,97.7
37.06246,-122.07999,97.7
37.35036,-122.0557,51.4
37.3389,-122.05938,61.0
37.3628,-122.00956,46.7
37.3935,-122.08453,48.3
37.25239,-121.96107,55.5
36.99026,-121.99458,97.7
37.35058,-121.87116,51.1
37.35033,-121.86395,45.4
37.30327,-121.89684,55.3
37.25745,-121.92017,70.6
37.32805,-121.84667,52.4
37.32158,-121.84079,52.4
37.31438,-121.81829,52.4
37.33318,-121.96155,52.4
37.4149,-121.87102,37.6
37.22038,-121.84638,78.4
37.237,-121.83973,63.7
36.98383,-121.99539,95.9
37.32213,-121.89629,61.2
37.33448,-121.98652,56.7
37.27061,-121.85504,47.6
37.2661,-122.01387,75.4
37.41687,-121.86277,37.6
36.59758,-121.82958,99.7
36.60766,-121.8537,99.7
36.60798,-121.93041,99.9
37.38501,-122.10108,65.7
36.99441,-121.8851,95.6
37.32848,-121.92288,48.3
36.99269,-121.95469,97.7
37.25877,-121.87802,62.7
37.40314,-121.85582,37.6
36.96568,-122.03901,95.9
37.38501,-122.10928,61.0
36.54368,-121.9269,99.9
37.41806,-122.11376,41.8
37.22038,-121.84638,78.4
37.16213,-122.01276,89.3
36.96699,-121.98544,95.9
37.32701,-121.9372,52.4
36.9779,-122.04785,95.9
36.98051,-122.01437,95.9
37.06497,-122.08116,97.7
37.04448,-122.02381,95.9
36.97751,-121.94764,95.9
36.96079,-121.8779,95.6
37.35092,-121.87141,47.1
37.32416,-121.93945,52.4
37.30349,-121.88683,61.2
37.35185,-121.84876,56.7
37.38053,-121.83299,42.9
37.39863,-121.88004,40.5
37.34659,-121.98199,52.4
37.3472,-121.94311,48.3
37.293,-122.00234,46.0
37.30475,-121.95938,56.7
37.25599,-122.03364,80.7
37.31557,-122.05402,61.0
37.30044,-122.01926,58.1
37.36743,-122.04319,44.3
37.20845,-121.85084,85.2
37.24775,-121.83689,59.6
37.23408,-121.81441,59.6
