latitude,longitude,pointValue
36.135,-121.59167,100.0
36.14,-121.6,100.0
36.13833,-121.58333,100.0
36.14833,-121.59833,100.0
36.13833,-121.58333,100.0
36.13833,-121.58333,100.0
38.57333,-122.83833,100.0
38.795,-123.01167,100.0
38.58167,-121.515,100.0
38.58833,-121.525,100.0
38.59167,-121.54167,100.0
38.58167,-121.51,100.0
38.54167,-121.73833,99.9
38.575,-121.51667,100.0
38.58833,-121.51167,100.0
38.51667,-121.55,99.9
38.20833,-122.15167,99.9
38.06333,-122.13,99.9
38.05667,-122.12833,99.9
38.04833,-122.12667,99.9
38.58167,-121.46167,100.0
38.58667,-121.48,100.0
38.585,-121.45,99.9
38.36167,-121.34667,99.9
38.265,-121.29833,99.9
38.58833,-121.485,100.0
38.6,-121.44667,99.9
38.57833,-121.30833,100.0
38.575,-121.50667,100.0
38.54333,-121.50833,100.0
38.64333,-121.38333,100.0
38.6,-121.47,100.0
38.565,-121.43,100.0
38.56667,-121.43167,100.0
38.55333,-121.42167,100.0
38.56833,-121.51333,100.0
38.56833,-121.51333,100.0
37.945,-122.51167,78.8
37.95833,-122.50833,78.8
38.01167,-122.25833,70.2
38.01167,-121.865,99.7
38.005,-122.08167,99.4
38.02833,-121.91667,99.9
38.03,-121.91667,89.7
38.02667,-121.88,99.3
37.99,-122.12833,88.7
37.99,-122.12833,88.7
38.00833,-121.75,99.3
38.025,-121.87667,99.7
38.005,-121.81833,99.7
38.0,-121.79667,99.7
37.67833,-122.095,66.9
37.67778,-121.78778,60.1
36.975,-121.905,99.9
36.90167,-121.59833,98.8
36.97333,-121.95333,99.9
36.97333,-121.95167,99.9
36.98167,-121.93667,99.9
37.33167,-121.905,89.8
38.005,-122.10167,98.8
38.01167,-122.27167,68.3
38.02667,-121.885,99.7
37.95,-121.24667,99.9
37.97667,-121.24667,99.9
37.94167,-121.27333,99.9
37.94333,-121.23333,99.9
38.13,-121.25667,99.9
38.13833,-121.25667,99.9
38.115,-121.27167,99.9
37.95667,-121.26333,99.9
37.94167,-121.31,99.9
38.145,-121.27,99.9
38.21333,-121.29,99.9
37.97,-121.28167,99.9
37.95667,-121.28,99.9
37.95833,-121.27667,99.9
37.93833,-121.32833,99.9
37.94,-121.52833,99.7
37.55833,-121.955,84.6
37.57833,-121.97167,80.9
37.57333,-121.96833,67.7
37.59,-121.95667,89.7
37.59833,-121.94667,68.3
37.85,-122.29333,85.4
37.73333,-121.62833,99.9
37.48833,-121.92833,89.2
37.77167,-122.21667,76.6
37.77167,-122.21667,75.9
37.77167,-122.21667,76.6
37.72333,-121.675,99.5
37.87333,-121.925,99.4
37.69167,-122.12833,59.4
37.62667,-121.88,60.1
37.745,-121.65333,99.9
37.66,-122.09167,57.0
37.68167,-121.77667,74.2
37.685,-121.77,76.6
37.56333,-121.995,78.8
37.70333,-121.69667,87.2
37.29167,-121.93667,91.6
37.32,-121.89833,89.8
37.325,-121.89167,89.8
37.25833,-121.96333,99.4
37.27167,-121.97833,98.8
37.41667,-121.91333,82.9
37.42833,-122.13833,80.1
37.335,-121.90333,89.8
37.31833,-121.89667,89.8
37.32667,-121.90167,89.8
37.34167,-121.91167,87.6
37.14167,-121.66167,98.0
37.31833,-121.89,89.8
37.31833,-121.89167,89.8
37.315,-121.88667,89.8
37.62667,-120.99167,99.9
37.63833,-121.99833,65.8
37.39167,-120.73167,99.9
37.39,-120.73,99.9
36.13,-120.99667,99.9
36.675,-121.645,99.9
36.67667,-121.65,99.9
37.76833,-122.225,78.8
38.00833,-122.20833,87.3
38.01333,-122.25167,91.8
37.92,-122.33167,76.5
37.92,-122.33167,76.5
37.92,-122.33167,76.5
37.92,-122.33167,76.5
38.005,-122.085,99.0
37.90167,-122.00667,87.3
37.935,-122.31667,50.8
37.75,-122.39167,75.0
37.74,-122.39333,99.7
37.74167,-122.39333,75.3
37.74667,-122.39167,75.0
37.47833,-122.17167,78.8
37.655,-122.405,99.7
37.53667,-122.29667,94.0
37.57,-122.325,91.6
37.57333,-122.32833,98.6
37.57333,-122.33,91.6
37.53,-122.28667,98.8
36.975,-121.89667,99.9
36.97667,-121.89667,99.9
36.97667,-121.90333,99.9
36.93333,-121.85833,99.9
37.37833,-121.94667,89.4
38.00833,-122.29333,79.6
37.57167,-121.96833,82.8
37.57,-121.96833,82.8
37.655,-122.08667,50.1
37.48833,-121.93167,89.2
37.54333,-122.01833,78.3
37.575,-121.97333,72.1
37.56833,-122.06,58.1
37.64,-121.885,55.5
37.505,-121.94,89.2
37.36333,-121.895,84.6
37.35833,-121.87,84.8
37.315,-121.91167,90.8
37.31833,-121.88833,89.8
37.31333,-121.88333,90.8
37.31333,-121.88333,90.8
37.31333,-121.91333,90.8
37.37,-121.97667,78.8
37.38167,-121.95,79.4
37.35833,-121.945,87.6
37.31667,-121.88667,89.8
37.37333,-121.95667,78.8
37.305,-121.87833,90.8
37.31,-121.88167,90.8
36.42167,-121.32167,99.9
36.67833,-121.65333,99.9
36.62667,-121.58667,99.9
